id,name,value,group,song
rhymes,,,
rhymes.i,,,rhymes.i,
rhymes.i.里,里,7798.0,rhymes.i,张信哲-难道
rhymes.i.自己,自己,7696.0,rhymes.i,Tank-是谁
rhymes.i.美丽,美丽,3008.0,rhymes.i,张信哲-难道
rhymes.i.回忆,回忆,2982.0,rhymes.i,胡夏-黑框眼镜
rhymes.i.忘记,忘记,2960.0,rhymes.i,陈瑞-鱼水情歌
rhymes.i.起,起,2641.0,rhymes.i,蔡琴-出人头地
rhymes.i.在一起,在一起,2628.0,rhymes.i,费玉清-奈何
rhymes.i.哭泣,哭泣,1928.0,rhymes.i,张信哲-难道
rhymes.i.心里,心里,1898.0,rhymes.i,满文军-最近最远的人
rhymes.i.哪里,哪里,1792.0,rhymes.i,龙飘飘-爱在那里爱
rhymes.i.分离,分离,1778.0,rhymes.i,费玉清-奈何
rhymes.i.放弃,放弃,1752.0,rhymes.i,郑智化-我的
rhymes.i.地,地,1542.0,rhymes.i,蔡琴-出人头地
rhymes.i.事,事,1516.0,rhymes.i,关淑怡-自言自语
rhymes.i.一次,一次,1438.0,rhymes.i,毛阿敏-投入地爱一次
rhymes.i.勇气,勇气,1435.0,rhymes.i,胡夏-黑框眼镜
rhymes.i.呼吸,呼吸,1427.0,rhymes.i,张清芳-呼喊快乐
rhymes.i.时,时,1396.0,rhymes.i,乌兰图雅-红红火火中国年
rhymes.i.故事,故事,1387.0,rhymes.i,关淑怡-自言自语
rhymes.i.心底,心底,1377.0,rhymes.i,何星烁RapStar-星
rhymes.i.可以,可以,1374.0,rhymes.i,许茹芸-给我一分钟不想你
rhymes.i.知,知,1331.0,rhymes.i,陈百强-亲爱的你
rhymes.i.记忆,记忆,1329.0,rhymes.i,王筝-爱情一直在经过
rhymes.i.甜蜜,甜蜜,1281.0,rhymes.i,陈瑞-鱼水情歌
rhymes.i.开始,开始,1277.0,rhymes.i,王筝-爱情一直在经过
rhymes.i.这里,这里,1271.0,rhymes.i,陈慧琳-离开
rhymes.i.珍惜,珍惜,1256.0,rhymes.i,张宇-大女人
rhymes.i.距离,距离,1190.0,rhymes.i,张信哲-难道
rhymes.i.意义,意义,1177.0,rhymes.i,Tank-是谁
rhymes.i.一起,一起,1169.0,rhymes.i,谭咏麟-感情回归
rhymes.i.死,死,1043.0,rhymes.i,陶晶莹-你本来就美
rhymes.ang,,,rhymes.ang,
rhymes.ang.地方,地方,3226.0,rhymes.ang,阿悄-小背叛
rhymes.ang.上,上,2861.0,rhymes.ang,陈绮贞-鱼
rhymes.ang.一样,一样,2843.0,rhymes.ang,刘家昌-海鸥
rhymes.ang.身旁,身旁,2410.0,rhymes.ang,大哲-不朽之光
rhymes.ang.唱,唱,1938.0,rhymes.ang,费玉清-奈何
rhymes.ang.希望,希望,1801.0,rhymes.ang,田震-我踏浪而来
rhymes.ang.模样,模样,1506.0,rhymes.ang,林忆莲-苦难中的少年
rhymes.ang.长,长,1480.0,rhymes.ang,黄莺莺-不了情
rhymes.ang.歌唱,歌唱,1436.0,rhymes.ang,容中尔甲-九寨之恋
rhymes.ang.远方,远方,1417.0,rhymes.ang,陈慧琳-离开
rhymes.ang.伤,伤,1416.0,rhymes.ang,田震-我踏浪而来
rhymes.ang.悲伤,悲伤,1306.0,rhymes.ang,龙飘飘-爱在那里爱
rhymes.ang.天堂,天堂,1296.0,rhymes.ang,梁汉文-烟火旅馆
rhymes.ang.流浪,流浪,1284.0,rhymes.ang,田震-我踏浪而来
rhymes.ang.遗忘,遗忘,1093.0,rhymes.ang,黄义达-等边三角
rhymes.ang.翅膀,翅膀,1051.0,rhymes.ang,柯以敏-答应我好吗
rhymes.ang.这样,这样,1041.0,rhymes.ang,林淑容-我怎麽哭了
rhymes.ian,,,rhymes.ian,
rhymes.ian.身边,身边,4173.0,rhymes.ian,张宇-合影留念
rhymes.ian.脸,脸,3195.0,rhymes.ian,阿悄-小背叛
rhymes.ian.一天,一天,2941.0,rhymes.ian,陈松伶-其实我总不甘心
rhymes.ian.改变,改变,2710.0,rhymes.ian,黄小琥-回到从前
rhymes.ian.再见,再见,1964.0,rhymes.ian,柯以敏-答应我好吗
rhymes.ian.天,天,1811.0,rhymes.ian,陈松伶-其实我总不甘心
rhymes.ian.时间,时间,1735.0,rhymes.ian,刘若英-一辈子的孤单
rhymes.ian.从前,从前,1590.0,rhymes.ian,黄小琥-回到从前
rhymes.ian.明天,明天,1481.0,rhymes.ian,黄小琥-回到从前
rhymes.ian.变,变,1459.0,rhymes.ian,陈绮贞-鱼
rhymes.ian.一点,一点,1357.0,rhymes.ian,陶晶莹-你本来就美
rhymes.ian.出现,出现,1284.0,rhymes.ian,张洪量-心碎
rhymes.ian.间,间,1275.0,rhymes.ian,孙淑媚-不通将阮放
rhymes.ian.相见,相见,1222.0,rhymes.ian,青山-酒醒梦已残
rhymes.ian.发现,发现,1085.0,rhymes.ian,光良-单恋
rhymes.ian.甜,甜,1067.0,rhymes.ian,向蕙玲-永远拢同款
rhymes.ian.眼前,眼前,1051.0,rhymes.ian,张洪量-昙花
rhymes.ian.面,面,1043.0,rhymes.ian,张宇-合影留念
rhymes.ou,,,rhymes.ou,
rhymes.ou.走,走,6535.0,rhymes.ou,Tank-是谁
rhymes.ou.时候,时候,4310.0,rhymes.ou,柯以敏-答应我好吗
rhymes.ou.手,手,3668.0,rhymes.ou,陈绮贞-鱼
rhymes.ou.温柔,温柔,3521.0,rhymes.ou,曾淑勤-守侯
rhymes.ou.回头,回头,2577.0,rhymes.ou,郭子-亲爱的妈咪
rhymes.ou.自由,自由,2252.0,rhymes.ou,容祖儿-新贵
rhymes.ou.朋友,朋友,1888.0,rhymes.ou,左小祖咒-钱歌
rhymes.ou.理由,理由,1811.0,rhymes.ou,郑秀文-至理名言
rhymes.ou.以后,以后,1695.0,rhymes.ou,钟镇涛-如你说以后
rhymes.ou.拥有,拥有,1464.0,rhymes.ou,罗文-言不由衷
rhymes.ou.尽头,尽头,1354.0,rhymes.ou,许茹芸-却上心头
rhymes.ou.分手,分手,1298.0,rhymes.ou,何星烁RapStar-这四年
rhymes.ou.愁,愁,1227.0,rhymes.ou,钟镇涛-如你说以后
rhymes.ou.放手,放手,1223.0,rhymes.ou,容祖儿-新贵
rhymes.ou.后,后,1125.0,rhymes.ou,钟镇涛-如你说以后
rhymes.ou.感受,感受,1122.0,rhymes.ou,孙耀威-情愿一个人
rhymes.ou.心头,心头,1102.0,rhymes.ou,高胜美-情琴
rhymes.ou.有,有,1026.0,rhymes.ou,容祖儿-新贵
rhymes.ou.所有,所有,1013.0,rhymes.ou,何星烁RapStar-这四年
rhymes.ai,,,rhymes.ai,
rhymes.ai.来,来,5679.0,rhymes.ai,张蔷-今夜不眠
rhymes.ai.在,在,2963.0,rhymes.ai,Tank-是谁
rhymes.ai.等待,等待,2735.0,rhymes.ai,龙飘飘-爱在那里爱
rhymes.ai.开,开,2661.0,rhymes.ai,赵鹏-如果这都不算爱
rhymes.ai.未来,未来,2512.0,rhymes.ai,黎明-只要为我爱一天
rhymes.ai.离开,离开,2238.0,rhymes.ai,吕研熙-意外
rhymes.ai.明白,明白,2063.0,rhymes.ai,郑智化-我的
rhymes.ai.回来,回来,1876.0,rhymes.ai,张智成-迷魂阵
rhymes.ai.海,海,1487.0,rhymes.ai,田震-我踏浪而来
rhymes.ai.起来,起来,1412.0,rhymes.ai,乌兰图雅-红红火火中国年
rhymes.ai.存在,存在,1352.0,rhymes.ai,Tank-是谁
rhymes.ai.期待,期待,1348.0,rhymes.ai,黎明-只要为我爱一天
rhymes.ai.出来,出来,1197.0,rhymes.ai,吕研熙-意外
rhymes.ai.伤害,伤害,1039.0,rhymes.ai,满文军-最近最远的人
rhymes.ai.精彩,精彩,1037.0,rhymes.ai,乌兰图雅-红红火火中国年
rhymes.u,,,rhymes.u,
rhymes.u.去,去,5209.0,rhymes.u,董文华-望星空
rhymes.u.路,路,3000.0,rhymes.u,阿兰-迷失的礼福
rhymes.u.过去,过去,2557.0,rhymes.u,李荣浩-裙姊
rhymes.u.幸福,幸福,2524.0,rhymes.u,阿兰-迷失的礼福
rhymes.u.雨,雨,1860.0,rhymes.u,徐小凤-唉!往事何苦提
rhymes.u.哭,哭,1731.0,rhymes.u,张信哲-难道
rhymes.u.孤独,孤独,1492.0,rhymes.u,阿兰-迷失的礼福
rhymes.u.离去,离去,1354.0,rhymes.u,董文华-望星空
rhymes.u.清楚,清楚,1180.0,rhymes.u,阿兰-迷失的礼福
rhymes.u.苦,苦,1086.0,rhymes.u,黄莺莺-不了情
rhymes.u.在乎,在乎,1084.0,rhymes.u,周传雄-寂寞无助
rhymes.u.下去,下去,1082.0,rhymes.u,韩宝仪-又是细雨
rhymes.u.结局,结局,1042.0,rhymes.u,梁咏琪-气流
rhymes.u.相遇,相遇,1014.0,rhymes.u,陈百强-谁能忘记
rhymes.a,,,rhymes.a,
rhymes.a.吗,吗,6314.0,rhymes.a,曾轶可-我们不是只有现在吗
rhymes.a.吧,吧,6027.0,rhymes.a,陈绮贞-鱼
rhymes.a.呀,呀,4153.0,rhymes.a,樊桐舟-雪花
rhymes.a.他,他,3732.0,rhymes.a,陈绮贞-鱼
rhymes.a.啦,啦,2728.0,rhymes.a,七郎-盼仔假兄弟
rhymes.a.她,她,2445.0,rhymes.a,童安格-耶利亚女郎
rhymes.a.天涯,天涯,1063.0,rhymes.a,容中尔甲-九寨之恋
rhymes.ing,,,rhymes.ing,
rhymes.ing.爱情,爱情,2805.0,rhymes.ing,胡夏-黑框眼镜
rhymes.ing.情,情,2464.0,rhymes.ing,张信哲-难道
rhymes.ing.眼睛,眼睛,2267.0,rhymes.ing,张信哲-难道
rhymes.ing.心情,心情,1558.0,rhymes.ing,董文华-望星空
rhymes.ing.听,听,1501.0,rhymes.ing,陈百强-亲爱的你
rhymes.ing.感情,感情,1150.0,rhymes.ing,甄楚倩-外借恋情
rhymes.ing.行,行,1096.0,rhymes.ing,胡夏-黑框眼镜
rhymes.en.人,人,11060.0,rhymes.en,陶晶莹-你本来就美
rhymes.en,,,rhymes.en,
rhymes.en.深,深,2112.0,rhymes.en,董文华-望星空
rhymes.en.真,真,1626.0,rhymes.en,张信哲-难道
rhymes.en.吻,吻,1570.0,rhymes.en,梁汉文-掯
rhymes.en.女人,女人,1244.0,rhymes.en,张信哲-找钥匙
rhymes.en.问,问,1045.0,rhymes.en,陈松伶-其实我总不甘心
rhymes.ao,,,rhymes.ao,
rhymes.ao.好,好,5127.0,rhymes.ao,Tank-是谁
rhymes.ao.知道,知道,3972.0,rhymes.ao,陈瑞-正好
rhymes.ao.着,着,3390.0,rhymes.ao,张信哲-难道
rhymes.ao.老,老,1864.0,rhymes.ao,黄莺莺-不了情
rhymes.ao.拥抱,拥抱,1721.0,rhymes.ao,黄莺莺-不了情
rhymes.ao.重要,重要,1331.0,rhymes.ao,康康-文明村之歌
rhymes.ao.到,到,1249.0,rhymes.ao,Tank-是谁
rhymes.ong,,,rhymes.ong,
rhymes.ong.中,中,4626.0,rhymes.ong,董文华-望星空
rhymes.ong.痛,痛,2393.0,rhymes.ong,钟镇涛-让一切随风
rhymes.ong.懂,懂,2331.0,rhymes.ong,容祖儿-新贵
rhymes.ong.天空,天空,1716.0,rhymes.ong,王力宏-流泪手心
rhymes.ong.笑容,笑容,1633.0,rhymes.ong,吴倩莲-来点伤心的音乐
rhymes.ong.感动,感动,1467.0,rhymes.ong,丁当-不是你的错
rhymes.ong.心中,心中,1358.0,rhymes.ong,董文华-望星空
rhymes.ong.空,空,1257.0,rhymes.ong,谭咏麟-感情回归
rhymes.ong.红,红,1017.0,rhymes.ong,龙飘飘-雪里红
rhymes.ong.心痛,心痛,1009.0,rhymes.ong,钟镇涛-让一切随风
rhymes.e.了,了,16768.0,rhymes.e,黄莺莺-不了情
rhymes.e,,,rhymes.e,
rhymes.e.的,的,8716.0,rhymes.e,陈绮贞-鱼
rhymes.e.什么,什么,5507.0,rhymes.e,李荣浩-模特
rhymes.e.快乐,快乐,3929.0,rhymes.e,甄楚倩-外借恋情
rhymes.e.夜,夜,1200.0,rhymes.e,甄楚倩-外借恋情
rhymes.o.我,我,34454.0,rhymes.o,Tank-是谁
rhymes.o,,,rhymes.o,
rhymes.o.寂寞,寂寞,4349.0,rhymes.o,田震-我踏浪而来
rhymes.o.哟,哟,1755.0,rhymes.o,费玉清-渡江千里
rhymes.o.沉默,沉默,1385.0,rhymes.o,苏慧伦-是你爱得不够
rhymes.o.折磨,折磨,1029.0,rhymes.o,深七-我就在你身后
rhymes.an,,,rhymes.an,
rhymes.an.孤单,孤单,1908.0,rhymes.an,黄凯芹-再遇
rhymes.an.眼,眼,1230.0,rhymes.an,张信哲-难道
rhymes.an.看,看,1189.0,rhymes.an,胡夏-黑框眼镜
rhymes.an.遗憾,遗憾,1060.0,rhymes.an,游鸿明-情愿孤单
rhymes.an.誓言,誓言,1026.0,rhymes.an,郑秀文-旧项链
rhymes.an.双眼,双眼,1008.0,rhymes.an,金莎-失眠
rhymes.an.夜晚,夜晚,1003.0,rhymes.an,高胜美-情人山
rhymes.ui,,,rhymes.ui,
rhymes.ui.谁,谁,5280.0,rhymes.ui,陶晶莹-你本来就美
rhymes.ui.醉,醉,1666.0,rhymes.ui,张卫健-寂寞伴侣
rhymes.ui.后悔,后悔,1642.0,rhymes.ui,崔子格-老公让我为你捶捶背
rhymes.ui.心碎,心碎,1510.0,rhymes.ui,陈百强-谁能忘记
rhymes.ui.追,追,1399.0,rhymes.ui,阿兰-迷失的礼福
rhymes.ui.对,对,1228.0,rhymes.ui,陶晶莹-你本来就美
rhymes.ui.回,回,1191.0,rhymes.ui,Tank-是谁
rhymes.ui.吹,吹,1015.0,rhymes.ui,张卫健-寂寞伴侣
rhymes.ui.面对,面对,1014.0,rhymes.ui,龙飘飘-是你还是我
rhymes.uo,,,rhymes.uo,
rhymes.uo.多,多,6378.0,rhymes.uo,陶晶莹-你本来就美
rhymes.uo.说,说,5247.0,rhymes.uo,Tank-是谁
rhymes.uo.错,错,3617.0,rhymes.uo,黄莺莺-不了情
rhymes.uo.生活,生活,2243.0,rhymes.uo,崔子格-老公让我为你捶捶背
rhymes.uo.做,做,1221.0,rhymes.uo,黎明-只要为我爱一天
rhymes.uo.火,火,1081.0,rhymes.uo,柯以敏-答应我好吗
rhymes.ei,,,rhymes.ei,
rhymes.ei.美,美,3310.0,rhymes.ei,陶晶莹-你本来就美
rhymes.ei.飞,飞,3246.0,rhymes.ei,阿兰-迷失的礼福
rhymes.ei.泪,泪,2790.0,rhymes.ei,陶晶莹-你本来就美
rhymes.ei.眼泪,眼泪,2506.0,rhymes.ei,黄义达-匿名的宝贝
rhymes.ei.伤悲,伤悲,1786.0,rhymes.ei,乔洋-我沿着悲伤
rhymes.ei.滋味,滋味,1748.0,rhymes.ei,黄莺莺-不了情
rhymes.ei.流泪,流泪,1579.0,rhymes.ei,雷婷-你的爱给了谁
rhymes.ei.安慰,安慰,1528.0,rhymes.ei,龙飘飘-爱在那里爱
rhymes.ei.累,累,1310.0,rhymes.ei,黄义达-匿名的宝贝
rhymes.ei.无所谓,无所谓,1165.0,rhymes.ei,黄义达-匿名的宝贝
rhymes.ei.完美,完美,1153.0,rhymes.ei,邰正宵-执迷不悔
rhymes.in,,,rhymes.in,
rhymes.in.心,心,8599.0,rhymes.in,张信哲-难道
rhymes.in.声音,声音,1599.0,rhymes.in,许茹芸-给我一分钟不想你
rhymes.in.伤心,伤心,1447.0,rhymes.in,向蕙玲-永远拢同款
rhymes.in.相信,相信,1272.0,rhymes.in,樊桐舟-童话
rhymes.eng,,,rhymes.eng,
rhymes.eng.梦,梦,6597.0,rhymes.eng,钟镇涛-让一切随风
rhymes.eng.等,等,1895.0,rhymes.eng,费玉清-渡江千里
rhymes.eng.一生,一生,1670.0,rhymes.eng,苏芮-没有就没有
rhymes.eng.风,风,1534.0,rhymes.eng,张蔷-今夜不眠
rhymes.uan,,,rhymes.uan,
rhymes.uan.远,远,3064.0,rhymes.uan,刘家昌-海鸥
rhymes.uan.永远,永远,2524.0,rhymes.uan,张洪量-心碎
rhymes.iang,,,rhymes.iang,
rhymes.iang.方向,方向,2035.0,rhymes.iang,张蔷-今夜不眠
rhymes.iang.想,想,1951.0,rhymes.iang,刘家昌-海鸥
rhymes.iang.梦想,梦想,1554.0,rhymes.iang,大哲-不朽之光
rhymes.iang.讲,讲,1286.0,rhymes.iang,梁汉文-烟火旅馆
rhymes.iang.坚强,坚强,1222.0,rhymes.iang,刘家昌-海鸥
rhymes.iang.飞翔,飞翔,1166.0,rhymes.iang,何星烁RapStar-星
rhymes.iang.力量,力量,1135.0,rhymes.iang,梁汉文-烟火旅馆
rhymes.iang.香,香,1091.0,rhymes.iang,郑智化-我的
rhymes.iao,,,rhymes.iao,
rhymes.iao.笑,笑,2406.0,rhymes.iao,Tank-是谁
rhymes.iao.微笑,微笑,1416.0,rhymes.iao,陈瑞-正好
rhymes.ie,,,rhymes.ie,
rhymes.ie.世界,世界,3148.0,rhymes.ie,陶晶莹-你本来就美
rhymes.ie.一切,一切,2832.0,rhymes.ie,黄小琥-回到从前
rhymes.ie.了解,了解,1204.0,rhymes.ie,张洪量-昙花
rhymes.ua,,,rhymes.ua,
rhymes.ua.话,话,2392.0,rhymes.ua,Tank-是谁
rhymes.ua.花,花,1817.0,rhymes.ua,潘秀琼-莫忘今宵
rhymes.ua.说话,说话,1397.0,rhymes.ua,陈绮贞-鱼
rhymes.iu,,,rhymes.iu,
rhymes.iu.流,流,1906.0,rhymes.iu,田震-我踏浪而来
rhymes.iu.久,久,1163.0,rhymes.iu,满文军-最近最远的人
rhymes.iu.停留,停留,1044.0,rhymes.iu,曾路得-陪着你走
rhymes.ia,,,rhymes.ia,
rhymes.ia.家,家,2205.0,rhymes.ia,龙飘飘-雪里红
rhymes.ia.下,下,2002.0,rhymes.ia,Tank-是谁
rhymes.ia.回家,回家,1135.0,rhymes.ia,米线-天脉传奇
rhymes.ue,,,rhymes.ue,
rhymes.ue.感觉,感觉,2773.0,rhymes.ue,郑国锋-停不了
rhymes.uai,,,rhymes.uai,
rhymes.uai.徘徊,徘徊,1331.0,rhymes.uai,雷婷-你的爱给了谁
