id,name,value,group
rhymes,,
rhymes.i,,,rhymes.i
rhymes.i.里,里,7798.0,rhymes.i
rhymes.i.自己,自己,7696.0,rhymes.i
rhymes.i.美丽,美丽,3008.0,rhymes.i
rhymes.i.回忆,回忆,2982.0,rhymes.i
rhymes.i.忘记,忘记,2960.0,rhymes.i
rhymes.i.起,起,2641.0,rhymes.i
rhymes.i.在一起,在一起,2628.0,rhymes.i
rhymes.i.哭泣,哭泣,1928.0,rhymes.i
rhymes.i.心里,心里,1898.0,rhymes.i
rhymes.i.哪里,哪里,1792.0,rhymes.i
rhymes.i.分离,分离,1778.0,rhymes.i
rhymes.i.放弃,放弃,1752.0,rhymes.i
rhymes.i.地,地,1542.0,rhymes.i
rhymes.i.事,事,1516.0,rhymes.i
rhymes.i.一次,一次,1438.0,rhymes.i
rhymes.i.勇气,勇气,1435.0,rhymes.i
rhymes.i.呼吸,呼吸,1427.0,rhymes.i
rhymes.i.时,时,1396.0,rhymes.i
rhymes.i.故事,故事,1387.0,rhymes.i
rhymes.i.心底,心底,1377.0,rhymes.i
rhymes.i.可以,可以,1374.0,rhymes.i
rhymes.i.知,知,1331.0,rhymes.i
rhymes.i.记忆,记忆,1329.0,rhymes.i
rhymes.i.甜蜜,甜蜜,1281.0,rhymes.i
rhymes.i.开始,开始,1277.0,rhymes.i
rhymes.i.这里,这里,1271.0,rhymes.i
rhymes.i.珍惜,珍惜,1256.0,rhymes.i
rhymes.i.距离,距离,1190.0,rhymes.i
rhymes.i.意义,意义,1177.0,rhymes.i
rhymes.i.一起,一起,1169.0,rhymes.i
rhymes.i.死,死,1043.0,rhymes.i
rhymes.ang,,,rhymes.ang
rhymes.ang.地方,地方,3226.0,rhymes.ang
rhymes.ang.上,上,2861.0,rhymes.ang
rhymes.ang.一样,一样,2843.0,rhymes.ang
rhymes.ang.身旁,身旁,2410.0,rhymes.ang
rhymes.ang.唱,唱,1938.0,rhymes.ang
rhymes.ang.希望,希望,1801.0,rhymes.ang
rhymes.ang.模样,模样,1506.0,rhymes.ang
rhymes.ang.长,长,1480.0,rhymes.ang
rhymes.ang.歌唱,歌唱,1436.0,rhymes.ang
rhymes.ang.远方,远方,1417.0,rhymes.ang
rhymes.ang.伤,伤,1416.0,rhymes.ang
rhymes.ang.悲伤,悲伤,1306.0,rhymes.ang
rhymes.ang.天堂,天堂,1296.0,rhymes.ang
rhymes.ang.流浪,流浪,1284.0,rhymes.ang
rhymes.ang.遗忘,遗忘,1093.0,rhymes.ang
rhymes.ang.翅膀,翅膀,1051.0,rhymes.ang
rhymes.ang.这样,这样,1041.0,rhymes.ang
rhymes.ian,,,rhymes.ian
rhymes.ian.身边,身边,4173.0,rhymes.ian
rhymes.ian.脸,脸,3195.0,rhymes.ian
rhymes.ian.一天,一天,2941.0,rhymes.ian
rhymes.ian.改变,改变,2710.0,rhymes.ian
rhymes.ian.再见,再见,1964.0,rhymes.ian
rhymes.ian.天,天,1811.0,rhymes.ian
rhymes.ian.时间,时间,1735.0,rhymes.ian
rhymes.ian.从前,从前,1590.0,rhymes.ian
rhymes.ian.明天,明天,1481.0,rhymes.ian
rhymes.ian.变,变,1459.0,rhymes.ian
rhymes.ian.一点,一点,1357.0,rhymes.ian
rhymes.ian.出现,出现,1284.0,rhymes.ian
rhymes.ian.间,间,1275.0,rhymes.ian
rhymes.ian.相见,相见,1222.0,rhymes.ian
rhymes.ian.发现,发现,1085.0,rhymes.ian
rhymes.ian.甜,甜,1067.0,rhymes.ian
rhymes.ian.眼前,眼前,1051.0,rhymes.ian
rhymes.ian.面,面,1043.0,rhymes.ian
rhymes.ou,,,rhymes.ou
rhymes.ou.走,走,6535.0,rhymes.ou
rhymes.ou.时候,时候,4310.0,rhymes.ou
rhymes.ou.手,手,3668.0,rhymes.ou
rhymes.ou.温柔,温柔,3521.0,rhymes.ou
rhymes.ou.回头,回头,2577.0,rhymes.ou
rhymes.ou.自由,自由,2252.0,rhymes.ou
rhymes.ou.朋友,朋友,1888.0,rhymes.ou
rhymes.ou.理由,理由,1811.0,rhymes.ou
rhymes.ou.以后,以后,1695.0,rhymes.ou
rhymes.ou.拥有,拥有,1464.0,rhymes.ou
rhymes.ou.尽头,尽头,1354.0,rhymes.ou
rhymes.ou.分手,分手,1298.0,rhymes.ou
rhymes.ou.愁,愁,1227.0,rhymes.ou
rhymes.ou.放手,放手,1223.0,rhymes.ou
rhymes.ou.后,后,1125.0,rhymes.ou
rhymes.ou.感受,感受,1122.0,rhymes.ou
rhymes.ou.心头,心头,1102.0,rhymes.ou
rhymes.ou.有,有,1026.0,rhymes.ou
rhymes.ou.所有,所有,1013.0,rhymes.ou
rhymes.ai,,,rhymes.ai
rhymes.ai.来,来,5679.0,rhymes.ai
rhymes.ai.在,在,2963.0,rhymes.ai
rhymes.ai.等待,等待,2735.0,rhymes.ai
rhymes.ai.开,开,2661.0,rhymes.ai
rhymes.ai.未来,未来,2512.0,rhymes.ai
rhymes.ai.离开,离开,2238.0,rhymes.ai
rhymes.ai.明白,明白,2063.0,rhymes.ai
rhymes.ai.回来,回来,1876.0,rhymes.ai
rhymes.ai.海,海,1487.0,rhymes.ai
rhymes.ai.起来,起来,1412.0,rhymes.ai
rhymes.ai.存在,存在,1352.0,rhymes.ai
rhymes.ai.期待,期待,1348.0,rhymes.ai
rhymes.ai.出来,出来,1197.0,rhymes.ai
rhymes.ai.伤害,伤害,1039.0,rhymes.ai
rhymes.ai.精彩,精彩,1037.0,rhymes.ai
rhymes.u,,,rhymes.u
rhymes.u.去,去,5209.0,rhymes.u
rhymes.u.路,路,3000.0,rhymes.u
rhymes.u.过去,过去,2557.0,rhymes.u
rhymes.u.幸福,幸福,2524.0,rhymes.u
rhymes.u.雨,雨,1860.0,rhymes.u
rhymes.u.哭,哭,1731.0,rhymes.u
rhymes.u.孤独,孤独,1492.0,rhymes.u
rhymes.u.离去,离去,1354.0,rhymes.u
rhymes.u.清楚,清楚,1180.0,rhymes.u
rhymes.u.苦,苦,1086.0,rhymes.u
rhymes.u.在乎,在乎,1084.0,rhymes.u
rhymes.u.下去,下去,1082.0,rhymes.u
rhymes.u.结局,结局,1042.0,rhymes.u
rhymes.u.相遇,相遇,1014.0,rhymes.u
rhymes.a,,,rhymes.a
rhymes.a.吗,吗,6314.0,rhymes.a
rhymes.a.吧,吧,6027.0,rhymes.a
rhymes.a.呀,呀,4153.0,rhymes.a
rhymes.a.他,他,3732.0,rhymes.a
rhymes.a.啦,啦,2728.0,rhymes.a
rhymes.a.她,她,2445.0,rhymes.a
rhymes.a.天涯,天涯,1063.0,rhymes.a
rhymes.ing,,,rhymes.ing
rhymes.ing.爱情,爱情,2805.0,rhymes.ing
rhymes.ing.情,情,2464.0,rhymes.ing
rhymes.ing.眼睛,眼睛,2267.0,rhymes.ing
rhymes.ing.心情,心情,1558.0,rhymes.ing
rhymes.ing.听,听,1501.0,rhymes.ing
rhymes.ing.感情,感情,1150.0,rhymes.ing
rhymes.ing.行,行,1096.0,rhymes.ing
rhymes.en.人,人,11060.0,rhymes.en
rhymes.en,,,rhymes.en
rhymes.en.深,深,2112.0,rhymes.en
rhymes.en.真,真,1626.0,rhymes.en
rhymes.en.吻,吻,1570.0,rhymes.en
rhymes.en.女人,女人,1244.0,rhymes.en
rhymes.en.问,问,1045.0,rhymes.en
rhymes.ao,,,rhymes.ao
rhymes.ao.好,好,5127.0,rhymes.ao
rhymes.ao.知道,知道,3972.0,rhymes.ao
rhymes.ao.着,着,3390.0,rhymes.ao
rhymes.ao.老,老,1864.0,rhymes.ao
rhymes.ao.拥抱,拥抱,1721.0,rhymes.ao
rhymes.ao.重要,重要,1331.0,rhymes.ao
rhymes.ao.到,到,1249.0,rhymes.ao
rhymes.ong,,,rhymes.ong
rhymes.ong.中,中,4626.0,rhymes.ong
rhymes.ong.痛,痛,2393.0,rhymes.ong
rhymes.ong.懂,懂,2331.0,rhymes.ong
rhymes.ong.天空,天空,1716.0,rhymes.ong
rhymes.ong.笑容,笑容,1633.0,rhymes.ong
rhymes.ong.感动,感动,1467.0,rhymes.ong
rhymes.ong.心中,心中,1358.0,rhymes.ong
rhymes.ong.空,空,1257.0,rhymes.ong
rhymes.ong.红,红,1017.0,rhymes.ong
rhymes.ong.心痛,心痛,1009.0,rhymes.ong
rhymes.e.了,了,16768.0,rhymes.e
rhymes.e,,,rhymes.e
rhymes.e.的,的,8716.0,rhymes.e
rhymes.e.什么,什么,5507.0,rhymes.e
rhymes.e.快乐,快乐,3929.0,rhymes.e
rhymes.e.夜,夜,1200.0,rhymes.e
rhymes.o.我,我,34454.0,rhymes.o
rhymes.o,,,rhymes.o
rhymes.o.寂寞,寂寞,4349.0,rhymes.o
rhymes.o.哟,哟,1755.0,rhymes.o
rhymes.o.沉默,沉默,1385.0,rhymes.o
rhymes.o.折磨,折磨,1029.0,rhymes.o
rhymes.an,,,rhymes.an
rhymes.an.孤单,孤单,1908.0,rhymes.an
rhymes.an.眼,眼,1230.0,rhymes.an
rhymes.an.看,看,1189.0,rhymes.an
rhymes.an.遗憾,遗憾,1060.0,rhymes.an
rhymes.an.誓言,誓言,1026.0,rhymes.an
rhymes.an.双眼,双眼,1008.0,rhymes.an
rhymes.an.夜晚,夜晚,1003.0,rhymes.an
rhymes.ui,,,rhymes.ui
rhymes.ui.谁,谁,5280.0,rhymes.ui
rhymes.ui.醉,醉,1666.0,rhymes.ui
rhymes.ui.后悔,后悔,1642.0,rhymes.ui
rhymes.ui.心碎,心碎,1510.0,rhymes.ui
rhymes.ui.追,追,1399.0,rhymes.ui
rhymes.ui.对,对,1228.0,rhymes.ui
rhymes.ui.回,回,1191.0,rhymes.ui
rhymes.ui.吹,吹,1015.0,rhymes.ui
rhymes.ui.面对,面对,1014.0,rhymes.ui
rhymes.uo,,,rhymes.uo
rhymes.uo.多,多,6378.0,rhymes.uo
rhymes.uo.说,说,5247.0,rhymes.uo
rhymes.uo.错,错,3617.0,rhymes.uo
rhymes.uo.生活,生活,2243.0,rhymes.uo
rhymes.uo.做,做,1221.0,rhymes.uo
rhymes.uo.火,火,1081.0,rhymes.uo
rhymes.ei,,,rhymes.ei
rhymes.ei.美,美,3310.0,rhymes.ei
rhymes.ei.飞,飞,3246.0,rhymes.ei
rhymes.ei.泪,泪,2790.0,rhymes.ei
rhymes.ei.眼泪,眼泪,2506.0,rhymes.ei
rhymes.ei.伤悲,伤悲,1786.0,rhymes.ei
rhymes.ei.滋味,滋味,1748.0,rhymes.ei
rhymes.ei.流泪,流泪,1579.0,rhymes.ei
rhymes.ei.安慰,安慰,1528.0,rhymes.ei
rhymes.ei.累,累,1310.0,rhymes.ei
rhymes.ei.无所谓,无所谓,1165.0,rhymes.ei
rhymes.ei.完美,完美,1153.0,rhymes.ei
rhymes.in,,,rhymes.in
rhymes.in.心,心,8599.0,rhymes.in
rhymes.in.声音,声音,1599.0,rhymes.in
rhymes.in.伤心,伤心,1447.0,rhymes.in
rhymes.in.相信,相信,1272.0,rhymes.in
rhymes.eng,,,rhymes.eng
rhymes.eng.梦,梦,6597.0,rhymes.eng
rhymes.eng.等,等,1895.0,rhymes.eng
rhymes.eng.一生,一生,1670.0,rhymes.eng
rhymes.eng.风,风,1534.0,rhymes.eng
rhymes.uan,,,rhymes.uan
rhymes.uan.远,远,3064.0,rhymes.uan
rhymes.uan.永远,永远,2524.0,rhymes.uan
rhymes.iang,,,rhymes.iang
rhymes.iang.方向,方向,2035.0,rhymes.iang
rhymes.iang.想,想,1951.0,rhymes.iang
rhymes.iang.梦想,梦想,1554.0,rhymes.iang
rhymes.iang.讲,讲,1286.0,rhymes.iang
rhymes.iang.坚强,坚强,1222.0,rhymes.iang
rhymes.iang.飞翔,飞翔,1166.0,rhymes.iang
rhymes.iang.力量,力量,1135.0,rhymes.iang
rhymes.iang.香,香,1091.0,rhymes.iang
rhymes.iao,,,rhymes.iao
rhymes.iao.笑,笑,2406.0,rhymes.iao
rhymes.iao.微笑,微笑,1416.0,rhymes.iao
rhymes.ie,,,rhymes.ie
rhymes.ie.世界,世界,3148.0,rhymes.ie
rhymes.ie.一切,一切,2832.0,rhymes.ie
rhymes.ie.了解,了解,1204.0,rhymes.ie
rhymes.ua,,,rhymes.ua
rhymes.ua.话,话,2392.0,rhymes.ua
rhymes.ua.花,花,1817.0,rhymes.ua
rhymes.ua.说话,说话,1397.0,rhymes.ua
rhymes.iu,,,rhymes.iu
rhymes.iu.流,流,1906.0,rhymes.iu
rhymes.iu.久,久,1163.0,rhymes.iu
rhymes.iu.停留,停留,1044.0,rhymes.iu
rhymes.ia,,,rhymes.ia
rhymes.ia.家,家,2205.0,rhymes.ia
rhymes.ia.下,下,2002.0,rhymes.ia
rhymes.ia.回家,回家,1135.0,rhymes.ia
rhymes.ue,,,rhymes.ue
rhymes.ue.感觉,感觉,2773.0,rhymes.ue
rhymes.uai,,,rhymes.uai
rhymes.uai.徘徊,徘徊,1331.0,rhymes.uai
